% 1. Title: Database for fitting lista espera
% 

@relation lista-espera

@attribute maeTrabalha 			{sim,nao}
@attribute possuiDeficiencia	{sim,nao}
@attribute ehAbrigado			{sim,nao}
@attribute renda				{ate-1-salario,ate-2-salarios,maior-2-salarios}
@attribute classificacao		{recebeVaga,naoRecebeVaga,aguardaNaLista}

@data

nao,nao,sim,ate-1-salario,recebeVaga
nao,nao,sim,ate-1-salario,recebeVaga
sim,sim,nao,ate-1-salario,recebeVaga
sim,sim,nao,ate-1-salario,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,ate-2-salarios,recebeVaga
sim,sim,nao,maior-2-salarios,recebeVaga
sim,sim,nao,maior-2-salarios,recebeVaga
sim,sim,nao,maior-2-salarios,recebeVaga
sim,sim,nao,maior-2-salarios,recebeVaga
sim,sim,nao,maior-2-salarios,recebeVaga
nao,sim,nao,ate-1-salario,recebeVaga
nao,sim,nao,ate-1-salario,recebeVaga
nao,sim,nao,ate-1-salario,recebeVaga
nao,sim,nao,ate-2-salarios,recebeVaga
nao,sim,nao,ate-2-salarios,recebeVaga
nao,sim,nao,ate-2-salarios,recebeVaga
nao,sim,nao,ate-2-salarios,recebeVaga
nao,sim,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-1-salario,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
sim,nao,nao,ate-2-salarios,recebeVaga
nao,sim,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
sim,nao,nao,maior-2-salarios,aguardaNaLista
nao,nao,nao,ate-2-salarios,naoRecebeVaga
nao,nao,nao,ate-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
nao,nao,nao,maior-2-salarios,naoRecebeVaga
